,metro_area,Median_Home_Price_1_18,Median_Home_Price_2_18,Median_Home_Price_3_18,Median_Home_Price_4_18,Median_Home_Price_5_18,Median_Home_Price_6_18,Median_Home_Price_7_18,Median_Home_Price_8_18,Median_Home_Price_9_18,Median_Home_Price_10_18,Median_Home_Price_11_18,Median_Home_Price_12_18,Sales_Average_2018
77,"Charleston, SC",258167.0,260500.0,260500.0,262773.0,269440.0,271107.0,271667.0,268333.0,268000.0,266333.0,268667.0,266000.0,265957.25
78,"Syracuse, NY",131800.0,130133.0,127633.0,130633.0,134607.0,141090.0,144723.0,147483.0,145749.0,143783.0,141549.0,140167.0,138279.16666666666
79,"Colorado Springs, CO",289250.0,292583.0,296633.0,302300.0,307267.0,313652.0,312986.0,309686.0,305000.0,302484.0,299151.0,296090.0,302256.8333333333
80,"Winston, NC",155167.0,156150.0,155650.0,156650.0,161000.0,164333.0,164300.0,164133.0,164133.0,164552.0,165385.0,169052.0,161708.75
81,"Wichita, KS",141617.0,140267.0,138800.0,140467.0,145133.0,151633.0,151300.0,151633.0,149467.0,151250.0,147950.0,145533.0,146254.16666666666
82,"Springfield, MA",205567.0,197883.0,197883.0,201233.0,209500.0,219467.0,223267.0,223767.0,218800.0,218333.0,218333.0,218333.0,212697.16666666666
83,"Fort Myers, FL",221300.0,224933.0,227933.0,233600.0,235367.0,235700.0,234033.0,233667.0,231667.0,230000.0,231000.0,234050.0,231104.16666666666
84,"Boise City, ID",246918.0,252661.0,259328.0,261140.0,266381.0,271413.0,278995.0,283909.0,282244.0,280581.0,278832.0,278204.0,270050.5
85,"Toledo, OH",108200.0,107833.0,108433.0,115067.0,122067.0,128300.0,133300.0,131667.0,133167.0,126467.0,124800.0,116933.0,121352.83333333333
86,"Madison, WI",246333.0,245500.0,253000.0,252833.0,256967.0,261467.0,268467.0,268500.0,261500.0,256083.0,253583.0,254417.0,256554.16666666666
87,"Lakeland, FL",184708.0,186567.0,186692.0,185525.0,186667.0,189483.0,191117.0,194783.0,195633.0,197833.0,197448.0,199715.0,191347.58333333334
88,"Ogden, UT",246000.0,248300.0,251300.0,256300.0,261333.0,267333.0,272333.0,274833.0,272500.0,270833.0,271667.0,272500.0,263769.3333333333
89,"Daytona Beach, FL",192967.0,194533.0,195900.0,200900.0,203333.0,205333.0,207000.0,210000.0,213667.0,213650.0,213983.0,214483.0,205479.08333333334
90,"Des Moines, IA",199917.0,199917.0,199333.0,202917.0,206083.0,211167.0,212833.0,212667.0,211000.0,206667.0,206000.0,202000.0,205875.08333333334
91,"Jackson, MS",167200.0,166533.0,170050.0,173467.0,178667.0,184333.0,190167.0,192333.0,190000.0,187500.0,187167.0,183833.0,180937.5
92,"Augusta, GA",165962.0,169717.0,165492.0,169675.0,169375.0,178183.0,181667.0,184000.0,181250.0,178750.0,178067.0,178783.0,175076.75
93,"Harrisburg, PA",175650.0,174067.0,169717.0,171183.0,175017.0,178350.0,181450.0,183500.0,181850.0,181583.0,179950.0,181967.0,177857.0
94,"Provo, UT",281817.0,289667.0,292167.0,295890.0,297023.0,303690.0,309967.0,309983.0,309250.0,306583.0,305933.0,308333.0,300858.5833333333
95,"Durham, NC",268500.0,267667.0,269833.0,276333.0,278000.0,279667.0,281333.0,283167.0,279833.0,278167.0,279775.0,288108.0,277531.9166666667
96,"Port St. Lucie, FL",216600.0,215600.0,218333.0,220000.0,223333.0,223333.0,224022.0,225655.0,227322.0,230573.0,228018.0,227148.0,223328.08333333334
97,"Vallejo, CA",418750.0,419417.0,425083.0,429333.0,434333.0,432667.0,436667.0,438500.0,435833.0,432333.0,432167.0,429167.0,430354.1666666667
98,"Killeen, TX",150100.0,149100.0,150150.0,155950.0,158250.0,161600.0,163137.0,164803.0,162787.0,160267.0,159952.0,159602.0,157974.83333333334
99,"Salem, OR",268333.0,270700.0,273850.0,280483.0,283017.0,284867.0,290633.0,295700.0,296033.0,289933.0,286300.0,286798.0,283887.25
100,"Ocala, FL",146100.0,147117.0,147317.0,149233.0,149917.0,154750.0,159083.0,161250.0,162883.0,162800.0,163283.0,162283.0,155501.33333333334
101,"Fort Collins, CO",365992.0,369658.0,375492.0,377000.0,382333.0,382633.0,384567.0,382149.0,383116.0,382349.0,384962.0,383861.0,379509.3333333333
102,"Boulder, CO",500333.0,521633.0,524967.0,531300.0,548000.0,546333.0,536904.0,524294.0,526628.0,529723.0,535000.0,546936.0,531004.25
103,"Clarksville, TN",163300.0,163300.0,163333.0,166983.0,169983.0,176950.0,180050.0,179383.0,176917.0,174333.0,173583.0,171583.0,171641.5
104,"Greeley, CO",331667.0,331667.0,331467.0,335367.0,341700.0,341717.0,343268.0,342602.0,343570.0,344785.0,346918.0,349458.0,340348.8333333333
105,"Macon, GA",130287.0,119983.0,120817.0,127800.0,135600.0,139595.0,138078.0,138112.0,136300.0,134667.0,132667.0,134667.0,132381.08333333334
106,"Athens, GA",192800.0,196750.0,186442.0,199975.0,206375.0,213017.0,211967.0,207583.0,202583.0,196250.0,196220.0,195220.0,200431.83333333334
107,"Gainesville, GA",210350.0,212267.0,212150.0,229917.0,238167.0,234100.0,237400.0,233900.0,237967.0,230000.0,241000.0,239400.0,229718.16666666666
108,"Yuba City, CA",266000.0,270000.0,274667.0,279667.0,279000.0,286667.0,287500.0,289167.0,282500.0,280250.0,280083.0,286417.0,280159.8333333333
109,"Punta Gorda, FL",190167.0,191500.0,188750.0,195667.0,199000.0,206000.0,203233.0,203233.0,201533.0,203033.0,210700.0,212400.0,200434.66666666666
110,"Pueblo, CO",171467.0,171867.0,173567.0,179400.0,180833.0,188333.0,191667.0,192500.0,190000.0,185667.0,182300.0,178967.0,182214.0
111,"Sherman, TX",163667.0,156067.0,164067.0,167900.0,180167.0,185167.0,190300.0,183047.0,184214.0,179914.0,187500.0,179000.0,176750.83333333334
112,"Dunn, NC",180300.0,176300.0,173467.0,174833.0,176817.0,178900.0,183817.0,183833.0,178167.0,170917.0,173583.0,179333.0,177522.25
113,"Truckee, CA",432250.0,421667.0,428667.0,442000.0,448583.0,463250.0,465000.0,469917.0,463917.0,465667.0,458833.0,436500.0,449687.5833333333
114,"The Villages, FL",255862.0,259529.0,263461.0,259464.0,259964.0,263103.0,268070.0,265570.0,261833.0,263833.0,266333.0,273630.0,263387.6666666667
115,"Faribault, MN",208000.0,208667.0,206967.0,209300.0,208800.0,214667.0,218967.0,226235.0,228402.0,222586.0,217117.0,217451.0,215596.58333333334
116,"Albemarle, NC",141000.0,139167.0,143250.0,152250.0,149083.0,149000.0,144000.0,151083.0,152083.0,156750.0,153667.0,156667.0,149000.0
117,"Kerrville, TX",235311.0,232145.0,232145.0,234167.0,245667.0,258667.0,260750.0,252083.0,235250.0,236667.0,245750.0,258750.0,243946.0
118,"Shelbyville, TN",161400.0,165353.0,161120.0,161453.0,162267.0,163267.0,164100.0,164833.0,177167.0,177500.0,172833.0,159467.0,165896.66666666666
119,"Wilmington, OH",120133.0,109167.0,132500.0,130167.0,135133.0,128300.0,131800.0,131883.0,133217.0,129383.0,124167.0,122333.0,127348.58333333333
