,metro_area,per_capita_income
274,"Pocatello, ID",38038.0
275,"Portland, ME",57751.0
276,"Portland, OR",56991.0
277,"Port St. Lucie, FL",54228.0
278,"Poughkeepsie, NY",53811.0
279,"Prescott Valley, AZ",40312.0
280,"Providence, RI",54585.0
281,"Provo, UT",40831.0
282,"Pueblo, CO",39511.0
283,"Punta Gorda, FL",41564.0
284,"Racine, WI",49749.0
285,"Raleigh, NC",55045.0
286,"Rapid City, SD",49681.0
287,"Reading, PA",49945.0
288,"Redding, CA",46582.0
289,"Reno, NV",59639.0
290,"Richmond, VA",57301.0
291,"Riverside, CA",40486.0
292,"Roanoke, VA",46963.0
293,"Rochester, MN",55323.0
294,"Rochester, NY",51167.0
295,"Rockford, IL",44328.0
296,"Rocky Mount, NC",39498.0
297,"Rome, GA",38524.0
298,"Sacramento, CA",56278.0
299,"Saginaw, MI",38754.0
300,"St. Cloud, MN",46513.0
301,"St. George, UT",38847.0
302,"St. Joseph, MO",39253.0
303,"St. Louis, MO",55883.0
304,"Salem, OR",42714.0
305,"Salinas, CA",56193.0
306,"Salisbury, MD",48296.0
307,"Salt Lake City, UT",51736.0
308,"San Angelo, TX",46406.0
309,"San Antonio, TX",46995.0
310,"San Diego, CA",61386.0
311,"San Francisco, CA",99424.0
312,"San Jose, CA",106213.0
313,"San Luis Obispo, CA",58491.0
314,"Santa Cruz, CA",69355.0
315,"Santa Fe, NM",58510.0
316,"Santa Maria, CA",62690.0
317,"Santa Rosa, CA",64501.0
318,"Savannah, GA",47144.0
319,"Scranton, PA",46175.0
320,"Seattle, WA",74620.0
321,"Sebastian, FL",76059.0
322,"Sebring, FL",33453.0
323,"Sheboygan, WI",52851.0
324,"Sherman, TX",42195.0
325,"Shreveport, LA",46509.0
326,"Sierra Vista, AZ",40308.0
327,"Sioux City, IA",50586.0
328,"Sioux Falls, SD",59520.0
329,"South Bend, IN",47244.0
330,"Spartanburg, SC",43148.0
331,"Spokane, WA",45903.0
332,"Springfield, IL",48793.0
333,"Springfield, MA",51953.0
334,"Springfield, MO",41780.0
335,"Springfield, OH",40769.0
336,"State College, PA",46193.0
337,"Staunton, VA",44316.0
338,"Stockton, CA",44995.0
339,"Sumter, SC",37304.0
340,"Syracuse, NY",49736.0
341,"Tallahassee, FL",42601.0
342,"Tampa, FL",47240.0
343,"Terre Haute, IN",38299.0
344,"Texarkana, TX",37607.0
345,"The Villages, FL",46100.0
346,"Toledo, OH",46868.0
347,"Topeka, KS",46017.0
348,"Trenton, NJ",69344.0
349,"Tucson, AZ",44028.0
350,"Tulsa, OK",54866.0
351,"Tuscaloosa, AL",37983.0
352,"Twin Falls, ID",39309.0
353,"Tyler, TX",55229.0
354,"Urban Honolulu, HI",59608.0
355,"Utica, NY",44036.0
356,"Valdosta, GA",36217.0
357,"Vallejo, CA",51664.0
358,"Victoria, TX",45968.0
359,"Vineland, NJ",40289.0
360,"Virginia Beach, VA",50619.0
361,"Visalia, CA",40420.0
362,"Waco, TX",40831.0
363,"Walla Walla, WA",46144.0
364,"Warner Robins, GA",41944.0
365,"Washington, DC",72483.0
366,"Waterloo, IA",46063.0
367,"Watertown, NY",46924.0
368,"Wausau, WI",49373.0
369,"Weirton, WV",40472.0
370,"Wenatchee, WA",50021.0
371,"Wheeling, WV",48881.0
372,"Wichita, KS",51854.0
373,"Wichita Falls, TX",43527.0
374,"Williamsport, PA",43823.0
375,"Wilmington, NC",43311.0
376,"Winchester, VA",48174.0
377,"Winston, NC",44850.0
378,"Worcester, MA",55801.0
379,"Yakima, WA",43379.0
380,"York, PA",50113.0
381,"Youngstown, OH",42443.0
382,"Yuba City, CA",42925.0
383,"Yuma, AZ",35682.0
